============================================================
HARDWARE DETECTED
Device: cuda
GPU: NVIDIA GeForce RTX 4060 Laptop GPU
PyTorch version: 2.6.0+cu126
============================================================

Found existing training_state.json in outputs\training\tamil\exp_A2_resolution. Loading state...
Auto-resuming weights from checkpoints\recognition\tamil\exp_A2_resolution\latest.pth...

============================================================
Epoch 42/81 | Global Shuffling Experiment
============================================================
[TRAIN] Loaded 17 packets containing 126419 total samples.
[VALIDATION] Loaded 3 packets containing 11598 total samples.
Total Packets: 17
Total Training Samples: 126419
Batch Size: 32
Number of Batches: 3951
Shuffle: True
Experiment Name: exp_A2_resolution
============================================================


Verifying model forward/backward pass...
============================================================
VERIFYING ONE BATCH BEFORE TRAINING
============================================================
Images shape: torch.Size([32, 1, 32, 219])
Targets shape: torch.Size([216])
Target lengths shape: torch.Size([32])
Actual widths shape: torch.Size([32])
Number of unique packets in this batch: 14
Outputs shape: torch.Size([32, 54, 78])
CTC Loss: 0.5359
First label decoded: 'தீ'
Verification PASSED. Starting training loop...

Verification successful. Starting training...

  Batch 1841/3951 | Loss: 0.4837 | Samples: 58912 | Time: 1411.3s | Speed: 41.7 samples/s
  Batch 1851/3951 | Loss: 0.8029 | Samples: 59232 | Time: 1422.2s | Speed: 41.6 samples/s
  Batch 1861/3951 | Loss: 0.4984 | Samples: 59552 | Time: 1432.6s | Speed: 41.6 samples/s
  Batch 1871/3951 | Loss: 0.5025 | Samples: 59872 | Time: 1443.4s | Speed: 41.5 samples/s
  Batch 1881/3951 | Loss: 0.4566 | Samples: 60192 | Time: 1454.2s | Speed: 41.4 samples/s
  Batch 1891/3951 | Loss: 0.5161 | Samples: 60512 | Time: 1464.4s | Speed: 41.3 samples/s
  Batch 1901/3951 | Loss: 0.7383 | Samples: 60832 | Time: 1475.2s | Speed: 41.2 samples/s
  Batch 1911/3951 | Loss: 0.5185 | Samples: 61152 | Time: 1486.0s | Speed: 41.2 samples/s
  Batch 1921/3951 | Loss: 0.6209 | Samples: 61472 | Time: 1496.4s | Speed: 41.1 samples/s
  Batch 1931/3951 | Loss: 0.4302 | Samples: 61792 | Time: 1506.3s | Speed: 41.0 samples/s
  Batch 1941/3951 | Loss: 0.4717 | Samples: 62112 | Time: 1516.8s | Speed: 40.9 samples/s
  Batch 1951/3951 | Loss: 0.8097 | Samples: 62432 | Time: 1526.7s | Speed: 40.9 samples/s
  Batch 1961/3951 | Loss: 0.7235 | Samples: 62752 | Time: 1540.5s | Speed: 40.7 samples/s
  Batch 1971/3951 | Loss: 0.4508 | Samples: 63072 | Time: 1565.8s | Speed: 40.3 samples/s
  Batch 1981/3951 | Loss: 0.7170 | Samples: 63392 | Time: 1574.9s | Speed: 40.3 samples/s
  Batch 1991/3951 | Loss: 0.4542 | Samples: 63712 | Time: 1583.6s | Speed: 40.2 samples/s
  Batch 2001/3951 | Loss: 0.5874 | Samples: 64032 | Time: 1591.5s | Speed: 40.2 samples/s
  Batch 2011/3951 | Loss: 0.5781 | Samples: 64352 | Time: 1599.2s | Speed: 40.2 samples/s
  Batch 2021/3951 | Loss: 0.5531 | Samples: 64672 | Time: 1607.2s | Speed: 40.2 samples/s
  Batch 2031/3951 | Loss: 0.6125 | Samples: 64992 | Time: 1615.1s | Speed: 40.2 samples/s
  Batch 2041/3951 | Loss: 0.7228 | Samples: 65312 | Time: 1622.8s | Speed: 40.2 samples/s
  Batch 2051/3951 | Loss: 0.6205 | Samples: 65632 | Time: 1631.1s | Speed: 40.2 samples/s
  Batch 2061/3951 | Loss: 0.7443 | Samples: 65952 | Time: 1639.9s | Speed: 40.2 samples/s
  Batch 2071/3951 | Loss: 0.6750 | Samples: 66272 | Time: 1648.0s | Speed: 40.2 samples/s
  Batch 2081/3951 | Loss: 0.5330 | Samples: 66592 | Time: 1656.7s | Speed: 40.2 samples/s
  Batch 2091/3951 | Loss: 0.4654 | Samples: 66912 | Time: 1664.9s | Speed: 40.2 samples/s
  Batch 2101/3951 | Loss: 0.3974 | Samples: 67232 | Time: 1672.9s | Speed: 40.2 samples/s
  Batch 2111/3951 | Loss: 0.7572 | Samples: 67552 | Time: 1681.2s | Speed: 40.2 samples/s
  Batch 2121/3951 | Loss: 0.3670 | Samples: 67872 | Time: 1690.1s | Speed: 40.2 samples/s
  Batch 2131/3951 | Loss: 0.5098 | Samples: 68192 | Time: 1699.2s | Speed: 40.1 samples/s
  Batch 2141/3951 | Loss: 0.6436 | Samples: 68512 | Time: 1708.4s | Speed: 40.1 samples/s
  Batch 2151/3951 | Loss: 0.7944 | Samples: 68832 | Time: 1716.8s | Speed: 40.1 samples/s
